place_id,place_name,description,category,city,rating,alamat,tags
11,Batik Koleksi Sari Amerta,"Merupakan toko batik yang berlokasi di Kabupaten Gianyar. Toko batik ini menawarkan berbagai macam jenis kain dan motif batik khas Indonesia dan berbagai daerah di Provinsi Bali. Batik untuk pria dan wanita tersedia disini dengan berbagai jenis seperti batik formal, batik lengan panjang dan pendek, casual, baik tradisional dan batik modern, batik tulis, sogan, batik couple dan lainnya",Budaya,Gianyar,3.5,"Jl. Raya Batubulan No.9, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80237",rupa toko batik lokasi kabupaten gianyar toko batik tawar bagai macam jenis kain motif batik khas indonesia bagai daerah provinsi bal batik pria wanita sedia sini bagai jenis batik formal batik lengan panjang pendek casual baik tradisional batik modern batik tulis sogan batik couple lain budayagianyar
12,Big Garden Corner,"Objek wisata Big Garden Corner Sanur adalah sebuah galeri seni batu dan taman patung, namun nuansanya sangat berbeda dengan galeri patung yang lain karena banyak ragam patung yang ada.Taman ini menyajikan ratusan koleksi patung batu besar dan kecil.Patung yang dipajang adalah jenis patung klasik tidak ada patung modern, termasuk juga patung Budha, terlihat seperti galeri seni dalam sebuah taman terbuka, semua ditata dengan sangat baik memperhatikan segala detailnya. Selain untuk refreshing, wisata foto selfie di tengah kota menjadi tempat ideal.Semua patung di kawasan ini tidak hanya sebagai barang pajangan saja, tetapi jika pengunjung berminat bisa membelinya. Jika anda mengenal rumah pohon di Karangasem desa Batudawa ataupun Temega, di kawasan Big Garden Corner juga terdapat rumah pohon.",Agrowisata,Denpasar,4.0,"Jl. By Pas Ngurah Rai, Sanur, Denpasar 80237 Indonesia",objek wisata big garden corner sanur buah galeri seni batu taman patung nuansa sangat beda galeri patung lain banyak ragam patung ada taman saji ratus koleksi patung batu besar kecil patung pajang jenis patung klasik ada patung modern masuk patung budha lihat galeri seni buah taman buka semua tata sangat baik perhati segala detail untuk refreshing wisata foto selfie tengah kota jadi tempat ideal semua patung kawasan tidak bagai barang pajang tetapi unjung minat bel anda kenal rumah pohon karangasem desa batudawa tega kawasan big garden corner dapat rumah pohon agrowisatadenpasar
13,Bukit Wanagiri,"Wanagiri Hidden Hills memiliki pesona keindahan yang luar biasa yang membuat siapapun yang melihatnya akan terkagum dan langsung jatuh cinta. Lukisan pemandangan alam yang cantik dengan background dataran tinggi pegunungan, pepohonan hijau nan asri serta di lengkapi oleh view danau yang terlihat jelas dari Puncak Wanagiri Hills. Nuansa puncak bukit yang sejuk dengan panorama alam bawah danau serta perbukitan di sekitarnya, menjadi lokasi menarik untuk diabadikan, apalagi warga setempat sangat kreatif mendesain kawasan rekreasi ini menjadi sebuah tempat foto selfie yang sekarang trend dan lagi hits.Berkunjung ke objek wisata di Buleleng Bali ini menjadi pengalaman baru dalam aktivitas liburan anda bersama pasangan tercinta ataupun bersama rekan atau keluarga. ",Alam,Buleleng,4.5,"Jalan Munduk - Wanagiri, Wanagiri, Sukasada, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali",wanagiri hidden hills milik pesona indah luar biasa buat siapa lihat kagum langsung jatuh cinta lukis pandang alam cantik background datar tinggi gunung pohon hijau nan asri lengkap view danau lihat jelas puncak wanagiri hills nuansa puncak bukit sejuk panorama alam bawah danau bukit sekitar jadi lokasi tarik abadi warga tempat sangat kreatif desain kawasan rekreasi jadi buah tempat foto selfie sekarang trend lagi hits kunjung objek wisata di buleleng bal jadi alam baru aktivitas libur sama pasang cinta sama rekan keluarga alambuleleng
14,Campuhan Ridge Walk,"Campuhan Ridge Walk adalah sebuah trek jogging di sekitar perbukitan Campuhan, Bali. Pemandangan pegunungan dan perbukitan yang sangat asri dapat Anda lihat di kanan dan kiri jalur setapak. Lembah, rumput hijau, dan sungai yang berada di pinggiran jalan setapak ini membuat sebuah pemandangan indah nan istimewa.",Agrowisata,Gianyar,4.5,"Jl. Raya Campuhan, Ubud 80571 Indonesia",campuh ridge walk buah trek jogging sekitar bukit campuh bal pandang gunung bukit sangat asri anda lihat kanan kiri jalur setapak lembah rumput hijau sungai ada pinggir jalan setapak buat buah pandang indah nan istimewa agrowisatagianyar
15,Danau Batur,"Danau Batur merupakan danau kawah yang berlokasi Kabupaten Bangli. Lokasinya berada di dalam kaldera gunung berapi aktif, Gunung Batur namanya. Danau Batur menawarkan pemandangan danau dengan air yang berwarna hijau kebiru-biruan. Danau Batur terlihat begitu cantik berpadu serasi dengan keberadaan gunung Batur dan bukit hijau yang mengelilinginya, keindahan tersebut bisa anda saksikan lebih maksimal ketika anda berada di desa Penelokan.",Alam,Bangli,4.0,"Songan B, Kec. Kintamani, Kabupaten Bangli, Bali",danau batur rupa danau kawah lokasi kabupaten bangli lokasi di kaldera gunung rap aktif gunung batur nama danau batur tawar pandang danau air warna hijau biru danau batur lihat cantik padu serasi gunung batur bukit hijau keliling indah sebut anda saksi lebih maksimal anda ada di desa tok alambangli
16,Danau Beratan Bedugul,"Danau Beratan Bedugul merupakan sebuah danau yang berada di Bali yang dikelilingi oleh bukit dan memiliki udara sejuk. Danau Beratan berada di kawasan Bedugul yang terletak di dataran tinggi dan alamnya masih asri.Nama danau ini aslinya bukan danau Bedugul, melainkan danau Beratan / Bratan. Namun karena masuk wilayah kawasan objek wisata Bedugul, maka banyak wisatawan lebih familiar menyebut nama danau Beratan / Bratan dengan nama danau Bedugul.",Alam,Tabanan,4.5,"Kec. Baturiti, Kabupaten Tabanan, Bali",danau rat bedugul rupa buah danau bal keliling bukit milik udara sejuk danau rat ada kawasan bedugul letak di datar tinggi alam asri nama danau asli bukan danau bedugul danau rat bratan karena masuk wilayah kawasan objek wisata bedugul banyak wisatawan lebih familiar sebut nama danau rat bratan nama danau bedugul alamtabanan
17,Danau Tamblingan,"Danau Tamblingan merupakan danau dengan keindahan yang memikat. Danau Tamblingan ini hampir sama dengan Danau Beratan, namun Danau Tamblingan dikelilingi oleh hutan dan udara yang sejuk. Dengan nuansa spiritual dan alam yang menyatu membuat Danau Tamblingan pantas untuk dikunjungi. Kamu akan mendapatkan suasana yang tenang, sejuk yang datang dari pepohonan dan akan jauh dari kebisingan.Danau tamblingan yang dingin di malam hari, selalu basah dari embun dedaunan pohon – sangat mendukung suasana alami di Danau tamblingan. Hal ini juga yang menjadi alasan bagi para wisatawan asing untuk menikmati keindahan alam secara langsung di danau tamblingan.",Alam,Buleleng,4.5,"Banjar Dinas Tamblingan desa Munduk, Kecamatan Banjar Kabupaten Buleleng",danau tamblingan rupa danau indah mikat danau tamblingan hampir sama danau rat danau tamblingan keliling hutan udara sejuk nuansa spiritual alam satu buat danau tamblingan pantas kunjung kamu dapat suasana tenang sejuk datang pohon akan jauh bising danau tamblingan dingin malam hari selalu basah embun dedaunan pohon sangat dukung suasana alami danau tamblingan ini yang jadi alas para wisatawan asing nikmat indah alam cara langsung danau tamblingan alambuleleng
18,Desa Budaya Kertalangu,"Desa Budaya Kertalangu melestarikan konsep budaya tempo dulu agar tidak punah, seperti tawaran makanan tradisional, jamu serta berbagai jenis ramuan tradisional. Desa budaya Kertalangu, akan memberikan pengalaman liburan baru di sebuah kota yang padat penduduk.Ketika memasuki Desa Budaya Kertalangu wisatawan akan disambut dengan sajian pemandangan alam yang tampak hijau dan alami berupa persawahan dan kebun-kebun hijau yang subur. Keistimewaan dari Desa Budaya Kertalangu ini adalah di dalam desa ini terdapat tugu perdamaian dunia. Tugu ini dibuat oleh negara-negara independen yang begitu mendukung adanya perdamaian di dunia. Di tugu ini juga terdapat 9 simbol agama yang ada di dunia.",Budaya,Denpasar,4.5,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",desa budaya kertalangu lestari konsep budaya tempo dulu tidak punah tawar makan tradisional jamu bagai jenis ramu tradisional desa budaya kertalangu beri alam libur baru buah kota padat duduk pasuk desa budaya kertalangu wisatawan sambut saji pandang alam tampak hijau alami upa sawah kebun hijau subur istimewa desa budaya kertalangu adalah dalam desa tugu damai dunia tugu buat negara independen begitu dukung damai dunia tugu juga dapat 9 simbol agama ada dunia budayadenpasar
19,Desa Celuk,"Celuk adalah sebuah desa dengan hasil produksi seni kerajinan perak yang tersohor, sehingga menjadi objek wisata identik sebagai penghasil perak terkenal di pulau Bali tidak itu juga diproduksi juga kerajinan emas, bahkan sampai ke mancanegara.Mereka yang bertandang tak hanya bisa membeli, tapi juga bisa terlibat langsung dalam pembuatan perhiasan cantik tersebut. Bagi mereka yang penasaran mengagumi keindahan kerajinan perhiasan, ada baiknya berkunjung ke desa ini.",Budaya,Gianyar,3.5,"Jalan Raya Celuk, Sukawati 80582 Indonesia",celuk buah desa hasil produksi seni rajin perak sohor jadi objek wisata identik bagai hasil perak kenal pulau bal itu produksi rajin emas bahkan mancanegara tandang tak beli juga bisa libat langsung buat hias cantik sebut mereka yang penasaran kagum indah rajin hias baik kunjung ke desa budayagianyar
20,Desa Tohpati,"Desa Tohpati terkenal akan produksi batik khas Bali dimana motifnya mempertahankan ciri tradisional  dengan menampilkan rusa, naga, kura-kura atau burung. Kearifan penduduk lokal yang mempertahan karya seni batik dengan adanya butik, toko, art shop hingga workshop membatik.Pada kunjungan pertama Anda ke home industri batik, Anda pasti akan mengalami rangsangan yang luar biasa dari indra - karena banyak warna, pola dan bau sebenarnya batik. Hanya melalui kunjungan berulang dan sedikit studi akan jenis desain dan asal-usul mereka menjadi jelas.",Budaya,Klungkung,4.0,"Kecamatan Banjarangkan, Kabupaten Klungkung, Provinsi Bali",desa tohpati kenal produksi batik khas bal mana motif tahan ciri tradisional tampil rusa naga kura burung arif duduk lokal tahan karya seni batik ada butik toko art shop hingga workshop batik kunjung pertama ke home industri batik pasti alami rangsang luar biasa indra - banyak warna pola bau benar batik lalu kunjung ulang sedikit studi jenis desain asal-usul jadi jelas budayaklungkung
21,Galeri Seni Semar Kuning,Semar Kuning Artist Cooperative merupakan sebuah tempat yang memang dirancang khusus untuk mengumpulkan seniman-seniman dari Bali yang hasil karya yang dapat dinikmati oleh para wisatawan.Ada banyak karya dari sekelompok seniman Bali. Tak heran jika seni Semar Kuning menjadi salah satu galeri yang paling banyak dikunjungi wisatawan di Ubud.Rata-rata pengunjung ditempat ini merupakan para seniman yang sedang menambah pengetahuan lebih jauh tentang lukisan khas yang diciptakan oleh para seniman Bali. Di tempat tersebut beragam lukisan tersaji dan sangat memanjakan mata para pengunjung. Harga sebuah lukisan ditempat tersebut memang sedikit lebih mahal bila dibandingkan dengan penjual lukisan yang ada di Bali akan tetapi bila Anda melihat lukisan yang tersaji Anda pasti akan membelinya karena lukisannya sangat eksklusif.,Belanja,Gianyar,4.5,"Jl. A.A. Gede Rai No.8, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",mar kuning artist cooperative rupa buah tempat memang rancang khusus kumpul seniman bal hasil karya dapat nikmat wisatawan banyak karya kelompok seniman bal tak heran seni mar kuning jadi salah satu galeri paling banyak kunjung wisatawan ubud rata unjung tempat rupa seniman sedang tambah tahu lebih jauh lukis khas cipta para seniman bal tempat sebut agam lukis saji sangat manja mata para unjung harga buah lukis tempat sebut memang sedikit lebih mahal bila banding jual lukis ada bal tetapi bila lihat lukis saji pasti bel lukis sangat eksklusif belanjagianyar
22,Garuda Wisnu Kencana,"Patung Garuda Wisnu Kencana menjadi ikon pariwisata Bali karena patung GWK memiliki tinggi 121 meter, dengan lebar patung 64 meter. Jika di bandingkan dengan tinggi patung Liberty di Amerika, yang hanya 93 meter, maka patung GWK Bali lebih tinggi 28 meter. Desain dari patung Garuda Wisnu Kencana, menggambarkan dewa Wisnu menaiki kendaraan yang berupa burung Garuda serta terdapat lapisan emas yang merupakan unsur kencana.",Budaya,Badung,3.5,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80364",patung garuda wisnu kencana jadi ikon pariwisata bal patung gwk milik tinggi 121 meter lebar patung 64 meter banding tinggi patung liberty di amerika hanya 93 meter patung gwk bal lebih tinggi 28 meter desain patung garuda wisnu kencana gambar dewa wisnu naik kendara upa burung garuda dapat lapis emas rupa unsur kencana budayabadung
23,Goa Gajah,"Objek wisata Goa Gajah, sejatinya adalah peninggalan sejarah, seperti namanya berbentuk sebuah goa di sebuah areal pura, sehingga dikenal dengan nama Pura Goa Gajah.Objek wisata Goa Gajah, sejatinya adalah peninggalan sejarah, seperti namanya berbentuk sebuah goa di sebuah areal pura, sehingga dikenal dengan nama Pura Goa Gajah.Jarak Goa Gajah dari Denpasar, Bali sekitar 25 kilometer, dengan kisaran waktu tempuh 1 jam perjalanan. Nggak perlu ngebut ya, nikmati saja panorama yang tersaji selama di perjalanan.",Religius,Gianyar,3.5,"Jalan Raya Goa Gajah No.99 Kemenuh Sukawati, Pejeng Kawan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80582",objek wisata goa gajah sejati tinggal sejarah nama bentuk buah goa buah areal pura kenal nama pura goa gajah objek wisata goa gajah sejati tinggal sejarah nama bentuk buah goa buah areal pura kenal nama pura goa gajah jarak goa gajah denpasar bal 25 kilometer kisar waktu tempuh 1 jam jalan perlu ngebut nikmat panorama saji lama jalan religiusgianyar
24,Gunung Agung,"Gunung Agung merupakan gunung tertinggi yang berada di Bali. Predikat ini adalah hal utama yang membuat banyak para petualang dan pendaki gunung, semakin penasaran dengan gunung tertinggi di Bali ini.Berada di ketinggian diatas 3000 meter sudah pasti bisa melihat alam Bali dan daerah sekitar secara sempurna. Dilansir dari laman Panduan Wisata Bali, pengunjung tak hanya dibius oleh pemandangan alam di sekitar Gunung Agung yang eksotis, juga Gunung Rinjani yang terletak di Pulau Lombok bisa terlihat dari puncak gunung yang terkenal ini.Selain Rinjani, keindahan gugusan Kepulauan Nusa Penida bisa ikut dinikmati dari puncak gunung. Begitu juga dengan Pantai Sanur serta Gunung dan Danau Batur yang bisa dinikmati dan dipandangi sepuasnya dari daerah tertinggi Gunung Agung.",Alam,Karangasem,4.5,"kecamatan Rendang, Kabupaten Karangasem, Bali, Indonesia",gunung agung rupa gunung tinggi ada bal predikat adalah utama buat banyak tualang daki gunung makin penasaran gunung tinggi bal ada tinggi atas 3000 meter pasti lihat alam bal daerah cara sempurna lansir laman pandu wisata bal unjung tak bius pandang alam sekitar gunung agung eksotis gunung rinjani letak pulau lombok lihat puncak gunung kenal selain rinjani indah gugus pulau nusa penida ikut nikmat puncak gunung juga pantai sanur gunung danau batur bisa nikmat pandang puas daerah tinggi gunung agung alamkarangasem
25,Gunung Batur,"Gunung Batur merupakan gunung yang memiliki kaldera yang sangat luas dan bisa dikatakan kaldera gunung purba. Selain itu gunung yang masih aktif ini pernah meletus ribuan tahun lalu hingga melahirkan Anak Gunung Batur serta Danau Batur.Udara sejuk daerah pegunungan, serta adanya kolam air panas alami yang lokasinya berdekatan, menambah minat wisatawan untuk berlibur ke objek wisata gunung berapi Kintamani Bali.Pendakian Gunung berapi Kintamani rata-rata memakan waktu sekitar tiga jam. Saran kami jika anda ingin mendaki mount Batur, sebaiknya anda di temani pemandu yang mengenal seluk beluk rute pendakian.",Alam,Bangli,4.5,"Kecamatan Kintamani, Kabupaten Bangli, Bali, Indonesia",gunung batur rupa gunung milik kaldera sangat luas bisa kata kaldera gunung purba itu gunung masih aktif pernah letus ribu tahun lalu hingga lahir anak gunung batur danau batur udara sejuk daerah gunung ada kolam air panas alami lokasi dekat tambah minat wisatawan libur objek wisata gunung rap kintamani bal daki gunung rap kintamani rata makan waktu tiga jam saran jika ingin daki mount batur baik di teman pandu kenal seluk beluk rute daki alambangli
